payment_id,player_id,payment_date,amount,method,season_id
1,1,2028-10-21 08:30:37,50,cash,38
2,2,2027-08-19 04:15:25,100,cash,29
3,3,2027-10-23 04:32:10,75,card,30
4,4,2027-02-25 04:29:49,75,card,25
5,5,2026-01-22 22:40:55,75,venmo,15
6,6,2026-01-09 00:12:24,100,cash,15
7,7,2025-01-06 06:47:43,75,card,7
8,8,2027-10-14 21:10:22,75,cash,30
9,9,2029-01-19 18:53:58,75,venmo,39
10,10,2028-08-10 17:53:11,75,venmo,36
11,11,2028-04-12 11:32:31,50,venmo,34
12,12,2025-01-27 19:19:23,75,cash,8
13,13,2024-12-30 06:19:59,100,cash,7
14,14,2025-12-19 05:28:21,50,venmo,15
15,15,2029-03-19 08:14:14,75,venmo,40
16,16,2026-09-26 17:51:58,100,cash,21
17,17,2024-12-22 22:53:26,100,venmo,7
18,18,2025-12-14 17:36:26,50,cash,15
19,19,2027-10-15 04:15:43,50,card,30
20,20,2026-01-08 18:17:51,100,cash,15
21,21,2025-09-27 18:08:00,75,venmo,13
22,22,2025-09-11 09:28:13,75,card,13
23,23,2028-04-24 01:47:08,50,venmo,35
24,24,2028-09-03 14:25:46,100,cash,37
25,25,2027-01-16 22:53:17,100,cash,23
26,26,2028-02-16 04:01:30,50,card,32
27,27,2025-05-29 15:18:45,50,venmo,11
28,28,2028-07-27 21:36:03,100,card,36
29,29,2025-01-11 11:13:01,75,venmo,9
30,30,2028-01-30 11:54:47,100,cash,32
31,31,2024-06-09 22:07:41,75,cash,3
32,32,2026-02-22 13:40:43,75,cash,16
33,33,2028-03-12 10:03:27,50,venmo,34
34,34,2028-06-15 18:20:17,100,cash,35
35,35,2028-06-30 03:43:09,50,card,36
36,36,2028-05-24 07:02:27,100,cash,35
37,37,2024-11-20 15:39:38,50,cash,6
38,38,2027-11-14 12:16:45,50,cash,30
39,39,2027-12-01 23:15:31,50,cash,30
40,40,2026-05-06 14:48:16,100,venmo,19
41,41,2024-03-20 06:11:41,50,venmo,2
42,42,2028-05-18 00:29:35,75,venmo,35
43,43,2025-10-28 18:15:14,75,venmo,14
44,44,2028-09-13 04:11:53,50,cash,37
45,45,2024-10-09 06:12:10,50,card,6
46,46,2027-06-02 00:46:43,100,venmo,27
47,47,2025-03-23 17:24:55,100,cash,10
48,48,2025-03-15 22:45:32,75,venmo,8
49,49,2024-01-11 00:57:29,100,cash,1
50,50,2025-05-05 02:23:52,100,venmo,11
51,51,2026-10-25 11:45:31,100,venmo,22
52,52,2026-05-26 08:36:23,75,card,19
53,53,2026-05-05 12:03:45,100,card,19
54,54,2026-03-23 03:49:36,100,venmo,16
55,55,2028-05-06 20:15:28,100,cash,35
56,56,2026-07-04 11:01:51,75,venmo,20
57,57,2026-07-18 21:26:10,75,card,20
58,58,2027-10-29 10:03:30,75,cash,30
59,59,2025-01-28 11:18:45,50,venmo,9
60,60,2024-04-14 20:53:46,75,card,2
61,61,2028-03-23 11:53:45,100,venmo,34
62,62,2028-07-21 23:13:23,75,cash,36
63,63,2027-02-05 04:47:22,50,venmo,25
64,64,2028-10-03 14:02:38,50,venmo,37
65,65,2026-01-03 12:40:12,75,venmo,15
66,66,2028-12-30 23:04:54,75,card,39
67,67,2027-12-12 00:36:59,75,card,31
68,68,2024-11-28 19:37:58,50,card,6
69,69,2028-09-13 08:02:09,50,card,37
70,70,2026-09-20 10:28:03,50,venmo,21
71,71,2025-04-19 20:40:48,50,cash,10
72,72,2024-03-11 23:04:29,50,venmo,2
73,73,2024-10-08 03:53:21,75,cash,6
74,74,2025-06-25 03:11:50,100,cash,12
75,75,2027-01-13 18:54:06,100,venmo,25
76,76,2028-03-19 21:57:55,75,venmo,34
77,77,2025-06-08 22:40:21,75,venmo,11
78,78,2024-01-01 21:50:29,50,card,1
79,79,2028-02-17 06:49:50,50,card,32
80,80,2027-01-22 09:31:14,50,cash,23
81,81,2025-02-08 05:44:45,75,cash,8
82,82,2024-11-29 19:44:17,75,cash,6
83,83,2027-08-15 19:55:50,75,card,29
84,84,2026-03-09 10:12:52,50,cash,16
85,85,2029-03-20 05:14:22,50,venmo,40
86,86,2024-03-13 23:14:36,100,venmo,2
87,87,2026-02-27 07:05:38,75,card,16
88,88,2025-01-20 03:31:04,100,venmo,9
89,89,2025-02-03 09:38:23,100,cash,8
90,90,2026-10-30 09:50:17,50,cash,22
91,91,2027-02-10 02:53:45,75,venmo,25
92,92,2024-07-20 06:31:43,100,venmo,4
93,93,2026-12-09 12:08:43,50,card,23
94,94,2026-01-14 22:53:27,100,venmo,15
95,95,2027-03-22 02:58:26,100,venmo,26
96,96,2028-06-16 08:49:47,75,venmo,35
97,97,2024-03-14 04:29:07,100,card,2
98,98,2024-09-27 07:00:43,50,cash,5
99,99,2025-08-02 17:43:33,100,card,12
100,100,2028-12-31 08:23:45,50,card,39
101,101,2028-03-24 23:55:10,100,venmo,34
102,102,2027-05-23 12:54:27,50,venmo,27
103,103,2025-05-31 06:43:46,75,card,11
104,104,2027-10-18 03:18:43,75,cash,30
105,105,2026-02-02 07:37:50,75,venmo,17
106,106,2027-07-25 05:32:08,75,cash,28
107,107,2027-03-22 05:08:14,50,cash,24
108,108,2028-06-08 19:35:36,100,venmo,35
109,109,2027-02-03 22:12:41,75,cash,25
110,110,2027-02-24 04:50:29,75,card,24
111,111,2025-10-21 03:21:40,100,venmo,14
112,112,2027-08-05 22:16:36,100,venmo,28
113,113,2024-07-28 21:35:43,50,card,4
114,114,2024-07-05 22:46:54,100,card,4
115,115,2026-09-29 00:34:55,75,venmo,21
116,116,2026-06-02 08:03:28,100,venmo,19
117,117,2028-12-18 16:03:37,75,card,39
118,118,2027-02-15 23:13:09,75,cash,24
119,119,2025-01-12 10:06:44,50,venmo,9
120,120,2027-08-14 10:58:39,75,card,29
121,121,2026-07-24 04:35:41,50,cash,20
122,122,2027-01-24 21:09:57,100,card,23
123,123,2026-09-11 09:37:19,75,venmo,21
124,124,2026-02-09 03:27:10,75,card,17
125,125,2024-03-10 19:30:20,50,card,2
126,126,2028-12-12 23:07:03,75,cash,39
127,127,2025-12-13 14:02:30,50,card,15
128,128,2027-04-24 15:54:27,100,card,27
129,129,2025-04-22 18:50:01,75,venmo,10
130,130,2025-09-29 08:17:06,50,venmo,13
131,131,2027-08-09 09:41:56,50,cash,28
132,132,2028-11-17 06:36:34,100,venmo,38
133,133,2025-02-04 14:50:38,100,venmo,8
134,134,2027-02-25 04:31:48,50,cash,25
135,135,2028-04-21 22:44:32,75,card,34
136,136,2024-11-13 07:14:06,75,cash,6
137,137,2027-09-10 03:25:08,100,venmo,29
138,138,2024-09-08 17:55:11,100,card,5
139,139,2025-02-01 10:44:37,100,cash,9
140,140,2027-01-27 02:53:38,100,venmo,23
141,141,2027-07-02 17:28:18,75,venmo,28
142,142,2027-11-28 14:01:48,50,card,30
143,143,2028-06-15 09:40:31,50,cash,35
144,144,2026-09-23 18:59:22,75,venmo,21
145,145,2024-05-19 20:01:23,50,venmo,3
146,146,2024-03-27 05:16:50,100,cash,2
147,147,2027-01-28 20:09:13,75,cash,24
148,148,2026-01-24 12:51:07,75,cash,15
149,149,2027-02-12 19:46:15,75,cash,24
150,150,2025-01-07 23:36:52,75,venmo,7
151,151,2026-05-02 08:24:43,75,cash,19
152,152,2025-01-26 16:25:27,50,card,9
153,153,2024-05-22 18:55:47,100,venmo,3
154,154,2026-04-01 03:15:31,50,cash,18
155,155,2027-03-13 21:30:18,50,cash,24
156,156,2028-08-11 01:52:41,100,venmo,36
157,157,2024-04-25 16:56:40,100,card,3
158,158,2024-05-25 05:38:28,100,card,3
159,159,2024-08-08 11:04:41,75,cash,4
160,160,2027-11-30 16:32:19,100,card,30
